"Order","Level","Code","Parent","Code","Parent","Description","Remark"
"1824814","1","10",,"TOTAL",,"Total",
"1824815","1","20",,"TOT_X_CP041_042",,"Total except actual rents",
"1824816","1","30",,"CP00",,"All-items HICP",
"1824817","1","40",,"CP01",,"Food and non-alcoholic beverages",
"1824818","2","50","40","CP011","CP01","Food",
"1824819","3","60","50","CP0111","CP011","Bread and cereals",
"1824820","4","70","60","CP01111","CP0111","Rice",
"1824821","5","80","70","CP01111A","CP01111","Long-grain rice (1 kg)",
"1824822","4","90","60","CP01112","CP0111","Flours and other cereals",
"1824823","5","100","90","CP01112A","CP01112","Wheat flour (1 kg)",
"1824824","5","110","90","CP01112B","CP01112","Cornflakes (1 kg)",
"1824825","4","120","60","CP01113","CP0111","Bread",
"1824826","5","130","120","CP01113A","CP01113","White bread, loaf (1 kg)",
"1824827","4","140","60","CP01114","CP0111","Other bakery products",
"1824828","4","150","60","CP01115","CP0111","Pizza and quiche",
"1824829","5","160","150","CP01115A","CP01115","Pizza, frozen (500 g)",
"1824830","4","170","60","CP01116","CP0111","Pasta products and couscous",
"1824831","5","180","170","CP01116A","CP01116","Pasta, without eggs (1 kg)",
"1824832","4","190","60","CP01117","CP0111","Breakfast cereals",
"1824833","4","200","60","CP01118","CP0111","Other cereal products",
"1824834","3","210","50","CP0112","CP011","Meat",
"1824835","4","220","210","CP01121","CP0112","Beef and veal",
"1824836","5","230","220","CP01121A","CP01121","Beef, minced (1 kg)",
"1824837","4","240","210","CP01122","CP0112","Pork",
"1824838","5","250","240","CP01122A","CP01122","Pork, cutlet (""escalope"") (1 kg)",
"1824839","5","260","240","CP01122B","CP01122","Pork, loin chop (B2) (1 kg)",
"1824840","4","270","210","CP01123","CP0112","Lamb and goat",
"1824841","4","280","210","CP01124","CP0112","Poultry",
"1824842","5","290","280","CP01124A","CP01124","Whole chicken (1 kg)",
"1824843","5","300","280","CP01124B","CP01124","Chicken breast, fillets (1 kg)",
"1824844","4","310","210","CP01125","CP0112","Other meats",
"1824845","4","320","210","CP01126_01127","CP0112","Dried, salted or smoked meat and edible meat offal",
"1824846","4","330","210","CP01126","CP0112","Edible offal",
"1824847","4","340","210","CP01127","CP0112","Dried, salted or smoked meat",
"1824848","5","350","340","CP01127A","CP01127","Sausage, Frankfurter/Wiener (1 kg)",
"1824849","5","360","340","CP01127B","CP01127","Sausage, salami type (1 kg)",
"1824850","4","370","210","CP01128","CP0112","Other meat preparations",
"1824851","5","380","370","CP01128A","CP01128","Other preserved or processed meat and meat preparations",
"1824852","5","390","370","CP01128B","CP01128","Other fresh, chilled or frozen edible meat",
"1824853","3","400","50","CP0113","CP011","Fish and seafood",
"1824854","4","410","400","CP01131_01132","CP0113","Fresh, chilled or frozen fish",
"1824855","4","420","400","CP01131","CP0113","Fresh or chilled fish",
"1824856","5","430","420","CP01131A","CP01131","Salmon, steak (1 kg)",
"1824857","4","440","400","CP01132","CP0113","Frozen fish",
"1824858","4","450","400","CP01133_01134","CP0113","Fresh, chilled or frozen seafood",
"1824859","4","460","400","CP01133","CP0113","Fresh or chilled seafood",
"1824860","4","470","400","CP01134","CP0113","Frozen seafood",
"1824861","4","480","400","CP01135","CP0113","Dried, smoked or salted fish and seafood",
"1824862","4","490","400","CP01136","CP0113","Other preserved or processed fish and seafood and fish and seafood preparations",
"1824863","5","500","490","CP01136A","CP01136","Tinned pink tuna (1 kg/net)",
"1824864","5","510","490","CP01136B","CP01136","Fish fingers (500 g)",
"1824865","3","520","50","CP0114","CP011","Milk, cheese and eggs",
"1824866","4","530","520","CP01141","CP0114","Whole milk",
"1824867","5","540","530","CP01141A","CP01141","Milk, fresh, unskimmed (1 l)",
"1824868","4","550","520","CP01142","CP0114","Low fat milk",
"1824869","4","560","520","CP01143","CP0114","Preserved milk",
"1824870","4","570","520","CP01144","CP0114","Yoghurt",
"1824871","5","580","570","CP01144A","CP01144","Natural yoghurt (1 kg/l)",
"1824872","5","590","570","CP01144B","CP01144","Fruit yoghurt (1 kg/l)",
"1824873","4","600","520","CP01145","CP0114","Cheese and curd",
"1824874","5","610","600","CP01145A","CP01145","Cheese, Camembert type (1 kg)",
"1824875","5","620","600","CP01145B","CP01145","Cheese, Gouda type (1 kg)",
"1824876","5","630","600","CP01145C","CP01145","Cream cheese (200 g)",
"1824877","4","640","520","CP01146","CP0114","Other milk products",
"1824878","4","650","520","CP01147","CP0114","Eggs",
"1824879","5","660","650","CP01147A","CP01147","Chicken eggs (10 eggs)",
"1824880","3","670","50","CP0115","CP011","Oils and fats",
"1824881","4","680","670","CP01151","CP0115","Butter",
"1824882","5","690","680","CP01151A","CP01151","Butter, unsalted (250 g)",
"1824883","4","700","670","CP01152","CP0115","Margarine and other vegetable fats",
"1824884","5","710","700","CP01152A","CP01152","Margarine (250 g)",
"1824885","4","720","670","CP01153","CP0115","Olive oil",
"1824886","5","730","720","CP01153A","CP01153","Olive oil (1 l)",
"1824887","4","740","670","CP01154","CP0115","Other edible oils",
"1824888","5","750","740","CP01154A","CP01154","Vegetable oil (1 l)",
"1824889","4","760","670","CP01155","CP0115","Other edible animal fats",
"1824890","3","770","50","CP0116","CP011","Fruit",
"1824891","4","780","770","CP0116A","CP0116","Citrus fruits (fresh, chilled or frozen)",
"1824892","4","790","770","CP0116B","CP0116","Bananas (fresh, chilled or frozen)",
"1824893","4","800","770","CP0116C","CP0116","Apples (fresh, chilled or frozen)",
"1824894","4","810","770","CP0116D","CP0116","Pears (fresh, chilled or frozen)",
"1824895","4","820","770","CP0116E","CP0116","Stone fruits (fresh, chilled or frozen)",
"1824896","4","830","770","CP0116F","CP0116","Berries (fresh, chilled or frozen)",
"1824897","4","840","770","CP0116G","CP0116","Other fresh, chilled or frozen fruits",
"1824898","4","850","770","CP01161","CP0116","Fresh or chilled fruit",
"1824899","5","860","850","CP01161A","CP01161","Apples (1 kg)",
"1824900","5","870","850","CP01161B","CP01161","Fresh bananas (1 kg)",
"1824901","4","880","770","CP01162","CP0116","Frozen fruit",
"1824902","4","890","770","CP01163","CP0116","Dried fruit and nuts",
"1824903","4","900","770","CP01164","CP0116","Preserved fruit and fruit-based products",
"1824904","5","910","900","CP01164A","CP01164","Canned fruit (1 kg/net)",
"1824905","3","920","50","CP0117","CP011","Vegetables",
"1824906","4","930","920","CP0117A","CP0117","Leaf and stem vegetables (fresh, chilled or frozen)",
"1824907","4","940","920","CP0117B","CP0117","Cabbages (fresh or chilled)",
"1824908","4","950","920","CP0117C","CP0117","Vegetable grown for their fruit (fresh, chilled or frozen)",
"1824909","4","960","920","CP0117D","CP0117","Root crops, non-starchy bulbs and mushrooms (fresh, chilled or frozen)",
"1824910","4","970","920","CP01171","CP0117","Fresh or chilled vegetables other than potatoes and other tubers",
"1824911","5","980","970","CP01171A","CP01171","Fresh carrots (1 kg)",
"1824912","5","990","970","CP01171B","CP01171","Fresh tomatoes, round (1 kg)",
"1824913","4","1000","920","CP01172","CP0117","Frozen vegetables other than potatoes and other tubers",
"1824914","4","1010","920","CP01173","CP0117","Dried vegetables, other preserved or processed vegetables",
"1824915","5","1020","1010","CP01173A","CP01173","Tinned sweet corn (500 g/net)",
"1824916","5","1030","1010","CP01173B","CP01173","Dried vegetables",
"1824917","5","1040","1010","CP01173C","CP01173","Other preserved or processed vegetables",
"1824918","4","1050","920","CP01174","CP0117","Potatoes",
"1824919","5","1060","1050","CP01174A","CP01174","Potatoes (1 kg)",
"1824920","5","1070","1050","CP01174B","CP01174","Frozen French fries (1 kg)",
"1824921","4","1080","920","CP01175","CP0117","Crisps",
"1824922","5","1090","1080","CP01175A","CP01175","Potato crisps, single pack (200 g)",
