Level,Code,Description
1,CP01,Food and non-alcoholic beverages
2,CP011,Food
3,CP0111,Bread and cereals
4,CP01111,Rice
5,CP01111A,Long-grain rice (1 kg)
4,CP01112,Flours and other cereals
5,CP01112A,Wheat flour (1 kg)
5,CP01112B,Cornflakes (1 kg)
4,CP01113,Bread
5,CP01113A,"White bread, loaf (1 kg)"
4,CP01114,Other bakery products
4,CP01115,Pizza and quiche
5,CP01115A,"Pizza, frozen (500 g)"
4,CP01116,Pasta products and couscous
5,CP01116A,"Pasta, without eggs (1 kg)"
4,CP01117,Breakfast cereals
4,CP01118,Other cereal products
3,CP0112,Meat
4,CP01121,Beef and veal
5,CP01121A,"Beef, minced (1 kg)"
4,CP01122,Pork
5,CP01122A,"Pork, cutlet (""escalope"") (1 kg)"
5,CP01122B,"Pork, loin chop (B2) (1 kg)"
4,CP01123,Lamb and goat
4,CP01124,Poultry
5,CP01124A,Whole chicken (1 kg)
5,CP01124B,"Chicken breast, fillets (1 kg)"
4,CP01125,Other meats
4,CP011267,"Dried, salted or smoked meat and edible meat offal"
4,CP01126,Edible offal
4,CP01127,"Dried, salted or smoked meat"
5,CP01127A,"Sausage, Frankfurter/Wiener (1 kg)"
5,CP01127B,"Sausage, salami type (1 kg)"
4,CP01128,Other meat preparations
5,CP01128A,Other preserved or processed meat and meat preparations
5,CP01128B,"Other fresh, chilled or frozen edible meat"
3,CP0113,Fish and seafood
4,CP011312,"Fresh, chilled or frozen fish"
4,CP01131,Fresh or chilled fish
5,CP01131A,"Salmon, steak (1 kg)"
4,CP01132,Frozen fish
4,CP011334,"Fresh, chilled or frozen seafood"
4,CP01133,Fresh or chilled seafood
4,CP01134,Frozen seafood
4,CP01135,"Dried, smoked or salted fish and seafood"
4,CP01136,Other preserved or processed fish and seafood and fish and seafood preparations
5,CP01136A,Tinned pink tuna (1 kg/net)
5,CP01136B,Fish fingers (500 g)
4,CP01141,Whole milk
5,CP01141A,"Milk, fresh, unskimmed (1 l)"
4,CP01142,Low fat milk
4,CP01143,Preserved milk
4,CP01144,Yoghurt
5,CP01144A,Natural yoghurt (1 kg/l)
5,CP01144B,Fruit yoghurt (1 kg/l)
4,CP01145,Cheese and curd
5,CP01145A,"Cheese, Camembert type (1 kg)"
5,CP01145B,"Cheese, Gouda type (1 kg)"
5,CP01145C,Cream cheese (200 g)
4,CP01146,Other milk products
4,CP01147,Eggs
5,CP01147A,Chicken eggs (10 eggs)
4,CP01151,Butter
5,CP01151A,"Butter, unsalted (250 g)"
4,CP01152,Margarine and other vegetable fats
5,CP01152A,Margarine (250 g)
4,CP01153,Olive oil
5,CP01153A,Olive oil (1 l)
4,CP01154,Other edible oils
5,CP01154A,Vegetable oil (1 l)
4,CP01155,Other edible animal fats
3,CP0116,Fruit
4,CP011601,"Citrus fruits (fresh, chilled or frozen)"
4,CP011602,"Bananas (fresh, chilled or frozen)"
4,CP011603,"Apples (fresh, chilled or frozen)"
4,CP011604,"Pears (fresh, chilled or frozen)"
4,CP011605,"Stone fruits (fresh, chilled or frozen)"
4,CP011606,"Berries (fresh, chilled or frozen)"
4,CP011607,"Other fresh, chilled or frozen fruits"
4,CP01161,Fresh or chilled fruit
5,CP01161A,Apples (1 kg)
5,CP01161B,Fresh bananas (1 kg)
4,CP01162,Frozen fruit
4,CP01163,Dried fruit and nuts
4,CP01164,Preserved fruit and fruit-based products
5,CP01164A,Canned fruit (1 kg/net)
3,CP0117,Vegetables
4,CP011701,"Leaf and stem vegetables (fresh, chilled or frozen)"
4,CP011702,Cabbages (fresh or chilled)
4,CP011703,"Vegetable grown for their fruit (fresh, chilled or frozen)"
4,CP011704,"Root crops, non-starchy bulbs and mushrooms (fresh, chilled or frozen)"
4,CP01171,Fresh or chilled vegetables other than potatoes and other tubers
5,CP01171A,Fresh carrots (1 kg)
5,CP01171B,"Fresh tomatoes, round (1 kg)"
4,CP01172,Frozen vegetables other than potatoes and other tubers
4,CP01173,"Dried vegetables, other preserved or processed vegetables"
5,CP01173A,Tinned sweet corn (500 g/net)
5,CP01173B,Dried vegetables
5,CP01173C,Other preserved or processed vegetables
4,CP01174,Potatoes
5,CP01174A,Potatoes (1 kg)
5,CP01174B,Frozen French fries (1 kg)
4,CP01175,Crisps
5,CP01175A,"Potato crisps, single pack (200 g)"
4,CP01176,Other tubers and products of tuber vegetables
3,CP0118,"Sugar, jam, honey, chocolate and confectionery"
4,CP01181,Sugar
5,CP01181A,White sugar (1 kg)
4,CP01182,"Jams, marmalades and honey"
5,CP01182A,Jam (1 kg)
4,CP01183,Chocolate
5,CP01183A,"Chocolate, milk (1 kg)"
4,CP01184,Confectionery products
5,CP01184A,Chewing gum (1 package)
4,CP01185,Edible ices and ice cream
5,CP01185A,Ice cream (1 l)
4,CP01186,Artificial sugar substitutes
5,CP01186A,Other sugar products
3,CP0119,Food products n.e.c.
4,CP01191,"Sauces, condiments"
5,CP01191A,Tomato ketchup (1 kg)
4,CP01192,"Salt, spices and culinary herbs"
5,CP01192A,Mineral salt (1 kg)
5,CP01192B,Black pepper (100 g)
4,CP01193,Baby food
5,CP01193A,"Baby food, meat base (500 g)"
4,CP01194,Ready-made meals
4,CP01199,Other food products n.e.c.
5,CP01199A,"Baker's yeast, dessert preparations, soups"
2,CP012,Non-alcoholic beverages
3,CP0121,"Coffee, tea and cocoa"
4,CP01211,Coffee
5,CP01211A,Coffee (1 kg)
4,CP01212,Tea
5,CP01212A,Black tea (25 bags)
4,CP01213,Cocoa and powdered chocolate
5,CP01213A,"Cocoa instant drink, powder (1 kg)"
3,CP0122,"Mineral waters, soft drinks, fruit and vegetable juices"
4,CP01221,Mineral or spring waters
5,CP01221A,"Mineral water, carbonated (1 l)"
5,CP01221B,"Mineral water, still (1 l)"
4,CP01222,Soft drinks
5,CP01222A,"Carbonated drink, orange flavoured (1 l)"
4,CP01223,Fruit and vegetables juices
5,CP01223A,Fruit juices
5,CP01223B,Orange juice (1 l)
5,CP01223C,Vegetable juices
1,CP02,"Alcoholic beverages, tobacco and narcotics"
2,CP021,Alcoholic beverages
